code,depth,name,parent_code
AC030400,3,홈스테이,AC03
AC050100,3,일반야영장,AC05
AC050200,3,오토캠핑장,AC05
AC050300,3,카라반,AC05
AC050400,3,글램핑장,AC05
AC060100,3,유스호스텔,AC06
AC060200,3,게스트하우스,AC06
C0112,2,가족코스,C01
C0113,2,나홀로코스,C01
C0114,2,힐링코스,C01
C0115,2,도보코스,C01
C0116,2,캠핑코스,C01
C0117,2,맛코스,C01
C01120001,3,가족코스,C0112
C01130001,3,나홀로코스,C0113
C01140001,3,힐링코스,C0114
C01150001,3,도보코스,C0115
C01160001,3,캠핑코스,C0116
C01170001,3,맛코스,C0117
EV01,2,축제,EV
EV02,2,공연,EV
EV03,2,행사,EV
EV010100,3,문화관광축제,EV01
EV010200,3,문화예술축제,EV01
EV010300,3,지역특산물축제,EV01
EV010400,3,전통역사축제,EV01
EV010500,3,생태자연축제,EV01
EV010600,3,기타축제,EV01
EV020100,3,전통공연,EV02
EV020200,3,연극,EV02
EV020300,3,뮤지컬,EV02
EV020400,3,오페라,EV02
EV020500,3,무용,EV02
EV020600,3,클래식음악회,EV02
EV020700,3,대중콘서트,EV02
EV020800,3,영화,EV02
EV020900,3,기타공연,EV02
EV021000,3,넌버벌,EV02
EV030100,3,전시회,EV03
EV030200,3,박람회,EV03
EV030300,3,스포츠경기,EV03
EV030400,3,기타행사,EV03
EX01,2,전통체험,EX
EX02,2,공예체험,EX
EX03,2,농.산.어촌 체험,EX
EX04,2,산사체험,EX
EX05,2,웰니스관광,EX
EX06,2,산업관광,EX
EX07,2,기타체험,EX
EX010100,3,전통문화체험,EX01
EX020100,3,금속공예체험,EX02
EX020200,3,유리공예체험,EX02
EX020300,3,가죽공예체험,EX02
EX020400,3,기타공예체험,EX02
EX030100,3,체험마을,EX03
EX030200,3,체험목장,EX03
EX030300,3,체험농장,EX03
EX030400,3,체험어장,EX03
EX040100,3,템플스테이,EX04
EX040200,3,사찰문화체험,EX04
EX050100,3,온천 / 사우나 / 스파,EX05
EX050200,3,찜질방,EX05
EX050300,3,한방체험,EX05
EX050400,3,힐링명상,EX05
EX050500,3,뷰티스파,EX05
EX050600,3,기타웰니스,EX05
EX050700,3,자연치유,EX05
EX050800,3,기타의료관광,EX05
EX060100,3,근대산업유산,EX06
EX060200,3,게임 등 첨단IT산업,EX06
EX060300,3,전통/향토산업,EX06
EX060400,3,문화콘텐츠산업,EX06
EX060500,3,장수기업/산업테마거리,EX06
EX060600,3,자동차/조선/철강 등,EX06
EX060700,3,로봇/항공우주산업,EX06
EX060800,3,화장품/주류/먹거리,EX06
EX060900,3,친환경/신재생에너지,EX06
EX061000,3,기타산업관광지,EX06
EX070100,3,유람선/잠수함관광,EX07
EX070200,3,기타체험관광,EX07
FD01,2,한식,FD
FD02,2,외국식,FD
FD03,2,간이음식,FD
FD04,2,주점,FD
FD05,2,카페/ 찻집,FD
FD010100,3,관광식당,FD01
FD010200,3,모범음식점,FD01
FD020100,3,중식,FD02
FD020200,3,일식,FD02
FD020300,3,서양식,FD02
FD020400,3,기타외국식,FD02
FD020500,3,퓨전음식,FD02
FD030100,3,제과,FD03
FD030200,3,"피자, 햄버거, 샌드위치 및 유사음식",FD03
FD030300,3,치킨,FD03
FD030400,3,김밥 분식,FD03
FD030500,3,이동음식,FD03
FD030600,3,기타간이음식,FD03
FD040100,3,바/펍,FD04
FD040200,3,생맥주전문점,FD04
FD040300,3,클럽,FD04
FD040400,3,전통주/민속주점,FD04
FD040500,3,기타주점,FD04
FD050100,3,카페,FD05
FD050200,3,찻집,FD05
FD050300,3,기타음료점,FD05
HS01,2,역사유적지,HS
HS02,2,역사유물,HS
HS03,2,종교성지,HS
HS04,2,안보관광지,HS
HS010100,3,고궁,HS01
HS010200,3,성ㆍ산성ㆍ성곽,HS01
HS010300,3,문,HS01
HS010400,3,고택,HS01
HS010500,3,생가,HS01
HS010600,3,민속마을,HS01
HS010700,3,사적지,HS01
HS010800,3,"고분, 능",HS01
HS010900,3,사당,HS01
HS011000,3,선사유적지,HS01
HS011100,3,근대건축물,HS01
HS011200,3,기타역사유적지,HS01
HS020100,3,탑ㆍ비석ㆍ기념탑,HS02
HS020200,3,선사유물,HS02
HS020300,3,불상,HS02
HS020400,3,기타역사유물,HS02
HS030100,3,불교,HS03
HS030200,3,기독교,HS03
HS030300,3,이슬람,HS03
HS030400,3,기타 종교성지,HS03
HS040100,3,안보유적지,HS04
HS040200,3,안보관광시설,HS04
HS040300,3,북한관광지,HS04
HS040400,3,기타안보관광지,HS04
LS01,2,육상레저스포츠,LS
LS02,2,수상레저스포츠,LS
LS03,2,항공레저스포츠,LS
LS04,2,복합레저스포츠,LS
LS010100,3,인라인(실내 인라인 포함),LS01
LS010200,3,자전거하이킹,LS01
LS010300,3,카트,LS01
LS010400,3,골프,LS01
LS010500,3,경마,LS01
LS010600,3,경륜,LS01
LS010700,3,승마,LS01
LS010800,3,스키/스노보드,LS01
LS010900,3,스케이트,LS01
LS011000,3,썰매장,LS01
LS011100,3,수렵장,LS01
LS011200,3,사격장,LS01
LS011300,3,암벽등반,LS01
LS011400,3,서바이벌게임,LS01
LS011500,3,ATV,LS01
