id,area_code,name,sigungu_code
469,51,춘천시,110
470,51,원주시,130
471,51,강릉시,150
472,51,동해시,170
473,51,태백시,190
474,51,속초시,210
475,51,삼척시,230
476,51,홍천군,720
477,51,횡성군,730
478,51,영월군,750
479,51,평창군,760
480,51,정선군,770
481,51,철원군,780
482,51,화천군,790
483,51,양구군,800
484,51,인제군,810
485,51,고성군,820
486,51,양양군,830
77,32,양구군,6
78,32,양양군,7
79,32,영월군,8
80,32,원주시,9
81,32,인제군,10
82,32,정선군,11
83,32,철원군,12
84,32,춘천시,13
85,32,태백시,14
86,32,평창군,15
87,32,홍천군,16
88,32,화천군,17
89,32,횡성군,18
90,33,괴산군,1
91,33,단양군,2
92,33,보은군,3
93,33,영동군,4
94,33,옥천군,5
95,33,음성군,6
96,33,제천시,7
97,33,진천군,8
98,33,청원군,9
99,33,청주시,10
100,33,충주시,11
101,33,증평군,12
102,34,공주시,1
103,34,금산군,2
104,34,논산시,3
105,34,당진시,4
106,34,보령시,5
107,34,부여군,6
108,34,서산시,7
109,34,서천군,8
110,34,아산시,9
111,34,예산군,11
112,34,천안시,12
113,34,청양군,13
114,34,태안군,14
115,34,홍성군,15
116,34,계룡시,16
117,35,경산시,1
118,35,경주시,2
119,35,고령군,3
120,35,구미시,4
121,35,김천시,6
122,35,문경시,7
123,35,봉화군,8
124,35,상주시,9
125,35,성주군,10
126,35,안동시,11
127,35,영덕군,12
128,35,영양군,13
129,35,영주시,14
130,35,영천시,15
131,35,예천군,16
132,35,울릉군,17
133,35,울진군,18
134,35,의성군,19
135,35,청도군,20
136,35,청송군,21
137,35,칠곡군,22
138,35,포항시,23
139,36,거제시,1
140,36,거창군,2
141,36,고성군,3
142,36,김해시,4
143,36,남해군,5
144,36,마산시,6
145,36,밀양시,7
146,36,사천시,8
147,36,산청군,9
148,36,양산시,10
149,36,의령군,12
150,36,진주시,13
151,36,진해시,14
152,36,창녕군,15
153,36,창원시,16
154,36,통영시,17
155,36,하동군,18
156,36,함안군,19
157,36,함양군,20
158,36,합천군,21
159,37,고창군,1
160,37,군산시,2
161,37,김제시,3
162,37,남원시,4
163,37,무주군,5
164,37,부안군,6
165,37,순창군,7
166,37,완주군,8
167,37,익산시,9
168,37,임실군,10
169,37,장수군,11
170,37,전주시,12
171,37,정읍시,13
172,37,진안군,14
173,38,강진군,1
174,38,고흥군,2
175,38,곡성군,3
176,38,광양시,4
177,38,구례군,5
178,38,나주시,6
179,38,담양군,7
180,38,목포시,8
181,38,무안군,9
182,38,보성군,10
183,38,순천시,11
184,38,신안군,12
185,38,여수시,13
186,38,영광군,16
187,38,영암군,17
188,38,완도군,18
189,38,장성군,19
190,38,장흥군,20
191,38,진도군,21
192,38,함평군,22
193,38,해남군,23
194,38,화순군,24
195,39,남제주군,1
196,39,북제주군,2
197,39,서귀포시,3
198,39,제주시,4
199,4,남구,1
200,4,달서구,2
201,4,달성군,3
202,4,동구,4
203,4,북구,5
204,4,서구,6
205,4,수성구,7
206,4,중구,8
207,4,군위군,9
208,5,광산구,1
209,5,남구,2
210,5,동구,3
211,5,북구,4
1,1,강남구,1
2,1,강동구,2
3,1,강북구,3
4,1,강서구,4
5,1,관악구,5
6,1,광진구,6
7,1,구로구,7
8,1,금천구,8
9,1,노원구,9
10,1,도봉구,10
11,1,동대문구,11
12,1,동작구,12
13,1,마포구,13
14,1,서대문구,14
15,1,서초구,15
16,1,성동구,16
17,1,성북구,17
18,1,송파구,18
19,1,양천구,19
20,1,영등포구,20
21,1,용산구,21
22,1,은평구,22
23,1,종로구,23
24,1,중구,24
25,1,중랑구,25
26,2,강화군,1
27,2,계양구,2
28,2,미추홀구,3
29,2,남동구,4
30,2,동구,5
31,2,부평구,6
32,2,서구,7
33,2,연수구,8
34,2,옹진군,9
35,2,중구,10
36,3,대덕구,1
37,3,동구,2
38,3,서구,3
39,3,유성구,4
40,3,중구,5
41,31,가평군,1
42,31,고양시,2
43,31,과천시,3
44,31,광명시,4
45,31,광주시,5
46,31,구리시,6
47,31,군포시,7
48,31,김포시,8
49,31,남양주시,9
50,31,동두천시,10
51,31,부천시,11
52,31,성남시,12
53,31,수원시,13
54,31,시흥시,14
55,31,안산시,15
56,31,안성시,16
57,31,안양시,17
58,31,양주시,18
59,31,양평군,19
60,31,여주시,20
61,31,연천군,21
62,31,오산시,22
63,31,용인시,23
64,31,의왕시,24
65,31,의정부시,25
66,31,이천시,26
67,31,파주시,27
68,31,평택시,28
69,31,포천시,29
70,31,하남시,30
71,31,화성시,31
72,32,강릉시,1
73,32,고성군,2
74,32,동해시,3
75,32,삼척시,4
76,32,속초시,5
212,5,서구,5
213,6,강서구,1
214,6,금정구,2
215,6,기장군,3
216,6,남구,4
217,6,동구,5
218,6,동래구,6
219,6,부산진구,7
220,6,북구,8
221,6,사상구,9
222,6,사하구,10
223,6,서구,11
224,6,수영구,12
225,6,연제구,13
226,6,영도구,14
227,6,중구,15
228,6,해운대구,16
229,7,중구,1
230,7,남구,2
231,7,동구,3
232,7,북구,4
233,7,울주군,5
234,8,세종특별자치시,1
