content_id,addr1,addr2,collected_at,created_time,expguide,first_image,homepage,infocenter,map_level,map_x,map_y,parking,restdate,sigungu_code,title,usetime,zipcode,content_type_id,ldong_regn_code,ldong_signgu_code,category,overview,detail_info,avg_rating,review_count
2380443,강원특별자치도 횡성군 둔내면 용현로 466-12,,2026-07-30 12:38:44.641711,2016-04-27 00:02:04,,https://tong.visitkorea.or.kr/cms/resource/93/2380393_image2_1.jpg,,,6,128.2572091884,37.5385713315,,,,별무리펜션,,25261,32,51,730,7,"별무리관광펜션은 강원도 횡성에 위치해 있다. 해발 600미터의 청정지역에 위치하여 넓은 정원, 조용한 환경, 청결한 객실관리로 휴식공간을 제공한다. 매일 아침 조식을 제공하며 각 객실의 데크에서 바비큐를 즐길 수 있다. 스파를 즐길 수 있는 객실들이 준비되어 있다.  커피를 좋아하는 투숙객을 위해 커피용품을 구비했다. 객실과 카페, 실내외 모두 와이파이 이용이 가능하다. 대관령, 횡성온천, 별무리계곡, 워터파크, 봉평 등 다양한 관광지가 있다.","[{""roompc"": """", ""roomtv"": ""Y"", ""roombath"": """", ""roomcode"": """", ""roomcook"": ""Y"", ""roomimg1"": ""http://tong.visitkorea.or.kr/cms/resource/04/2380404_image2_1.jpg"", ""roomimg2"": ""http://tong.visitkorea.or.kr/cms/resource/01/2380401_image2_1.jpg"", ""roomimg3"": ""http://tong.visitkorea.or.kr/cms/resource/05/2380405_image2_1.jpg"", ""roomimg4"": """", ""roomimg5"": """", ""roomsofa"": ""Y"", ""contentid"": ""2380443"", ""roomcable"": ""Y"", ""roomcount"": ""1"", ""roomintro"": ""※ 객실 가격 전화문의 요망"", ""roomsize1"": ""20"", ""roomsize2"": ""68"", ""roomtable"": ""Y"", ""roomtitle"": ""별셋"", ""roomimg1alt"": ""별무리펜션_별셋2"", ""roomimg2alt"": ""별무리펜션_별셋1"", ""roomimg3alt"": ""별무리펜션_별셋3"", ""roomimg4alt"": """", ""roomimg5alt"": """", ""cpyrhtDivCd1"": ""Type3"", ""cpyrhtDivCd2"": ""Type3"", ""cpyrhtDivCd3"": ""Type3"", ""cpyrhtDivCd4"": """", ""cpyrhtDivCd5"": """", ""roominternet"": ""Y"", ""roommaxcount"": ""4"", ""contenttypeid"": ""32"", ""roombasecount"": ""4"", ""roomhairdryer"": ""Y"", ""roomtoiletries"": ""Y"", ""roomhometheater"": """", ""roomaircondition"": ""Y"", ""roombathfacility"": ""Y"", ""roomrefrigerator"": ""Y"", ""roomoffseasonminfee1"": ""150000"", ""roomoffseasonminfee2"": ""190000"", ""roompeakseasonminfee1"": ""0"", ""roompeakseasonminfee2"": ""0""}]",0.00,0
3532950,강원특별자치도 춘천시 춘천로269번길 19-6 (후평동),,2026-07-30 12:38:44.641711,2025-09-08 17:13:23,,,https://map.naver.com/p/entry/place/1922659591,,6,127.7422562076,37.8816538055,,,13,유류헌,,24255,32,51,110,7,"유류헌은 호스트 부부의 성을 한 자씩 따서 집(軒,헌)이라는 뜻을 더해 지은 이름으로, 단순한 숙소를 넘어 ‘우리 집에 초대하는 공간’이라는 의미를 담고 있습니다. 
흑과 백이 조화롭게 스며든 이곳에서는 군더더기 없는 여백 속에서 쉼에 집중할 수 있습니다. 한눈에 모든 공간이 보이도록 벽을 허물고, 오롯이 둘만을 위한 아늑한 구조로 설계되었습니다. 
부부의 취향과 가치관대로 타협 없이, 소신껏 완성된 공간에서 특별한 머무름을 경험해 보세요.",[],0.00,0
2672249,강원특별자치도 강릉시 구정면 현천길 25,,2026-07-30 12:38:44.641711,2020-09-15 20:20:00,,http://tong.visitkorea.or.kr/cms/resource/64/1635864_image2_1.jpg,,,6,128.8918883204,37.6961389027,,,1,바다에 커피향이 은은하니 내 마음은 두근두근,,25623,25,51,150,4,바다를 보며 커피를 마신다. 생각만으로도 낭만이 흘러넘친다. 바다 곁 커피 한 잔의 여유를 즐길 수 있는 공간이 강릉 안목해변에 펼쳐진다. 외국의 해변에라도 와 있는 듯 저마다의 매력을 뽐내는 카페들이 줄 지어 있다. 어느 한 곳을 고르기도 어렵다. 하지만 어느 곳에 가도 진한 커피 향과 시원한 바다 풍경을 만날 수 있다는 사실은 다름없다.,[],0.00,0
125681,강원특별자치도 양양군 현남면 동해대로 62,,2026-07-30 12:38:44.641711,2003-07-10 09:00:00,,http://tong.visitkorea.or.kr/cms/resource/11/2922111_image2_1.jpg,"<a href=""http://www.jkbeach.com/2007/main/index.html"" target=""_blank"" title=""새창 : 지경리마을 홈페이지로 이동"">http://www.jkbeach.com</a>",033-671-4568,6,128.8032171516,37.9204639845,가능,,7,지경리해변,상시 개방,25058,12,51,830,5,"강릉시와 경계지점에 있으며 인근에 남애항이 있어 신선한 해산물과 활어회를 즐길 수 있는 곳이다. 해변 뒤편으로 송림이 울창하고 백사장이 넓고 깨끗하다. 설악권의 최남단 해변으로 양양군 남쪽에 위치하고 있으며 여름에만 한시적으로 지경리 마을에서 운영, 개방하는 간이해수욕장이다. 지경리해변의 최고 장점은 해수욕장 뒤편에 울창하게 드리운 3만 평 정도의 송림이 있다. 이 송림에서 텐트를 치고 야영도 할 수 있다. 해변에서는 파라솔이 필요 없을 정도이다. 더구나 다른 간이해수욕장과 달리 충분한 방갈로 시설이 갖추어져 있어 단체 수련 등에 많이 이용되고 있다. 해안선 길이는 700m 정도로 길게 뻗어 있고 수심도 1m 정도의 얕은 편이다. 해마다 여름이면 기업 단체 연수가 줄을 잇는다.","[{""fldgubun"": ""3"", ""infoname"": ""화장실"", ""infotext"": ""있음"", ""contentid"": ""125681"", ""serialnum"": ""0"", ""contenttypeid"": ""12""}]",0.00,0
134242,강원특별자치도 정선군 화암면 소금강로 80-23,,2026-07-30 12:38:44.641711,2004-01-02 09:00:00,,,,,6,128.7227474222,37.3491367867,,,11,할머니횟집,,26116,39,51,770,1,"할머니횟집은 화암동굴에서 약 10분 거리에 위치한 음식점으로, 민물고기를 백숙으로 즐길 수 있는 곳이다. 할머니횟집이라는 이름과 걸맞게 고즈넉한 한옥과 항아리로 꾸며진 마당이 인상적이다. 또한 옛 책자처럼 꾸며진 메뉴판은 예스러움을 간직하고 있다. 
할머니횟집의 메뉴는 향어황기백숙부터 송어비빔회, 송어회무침, 도토리더덕무침, 곤드레나물밥 등이 있다. 특히 곤드레로 만든 막걸리와 함께하면 더욱 고소하고 깊은 맛을 느낄 수 있다. 한 상 가득 나오는 맛있는 밑반찬들이 입맛을 돋우어준다.","[{""fldgubun"": ""1"", ""infoname"": ""화장실"", ""infotext"": ""있음"", ""contentid"": ""134242"", ""serialnum"": ""0"", ""contenttypeid"": ""39""}]",0.00,0
2383582,강원특별자치도 양양군 서면 오색리,,2026-07-30 12:38:44.641711,2016-05-13 22:06:05,,http://tong.visitkorea.or.kr/cms/resource/67/3500567_image2_1.jpg,"<a href=""http://seorak.knps.or.kr"" target=""_blank"" title=""새창 : 설악산국립공원 사이트로 이동"">http://seorak.knps.or.kr</a>",033-801-0900,6,128.4187245737,38.0878565375,가능,연중무휴,7,설악산 흘림골,"- 평시 09:00~14:00<br>
- 성수기(10월) 08:00~15:00",25033,12,51,830,5,"양양군에 위치한 남설악의 계곡, 흘림골은 산이 높고 계곡이 깊어 언제나 안개가 끼고 날씨가 흐린 것 같다 하여 붙은 이름이다. 아름다운 자연경관으로 알려져 있으며, 흘림골 계곡을 따라 등선대까지 올라가면 사방으로 탁 트인 시원한 남설악의 풍경을 볼 수 있다. 등선대를 넘어 주전골을 지나 오색약수까지 걸을 수 있는데, 멋진 바위들과 시원한 계곡이 어우러진 풍경이 일품인 코스이다. 2015년 수해로 인해 한계령을 넘나드는 도로가 유실되고, 낙석사고로 인해 통제되었다가 2022년 7년 만에 개방되었으며, 이때 22개의 낙석 구간에 우회로를 만들고 낙석 방지 터널 등 안전시설을 보강하였다. 설악산 흘림골의 대표적인 명소로는 여심폭포, 등선대(만물상 전망대), 등선폭포, 금강문, 주전골 등이 있다. 특히 그중에서 여심폭포는 높은 기암절벽을 타고 20미터 높이에서 떨어지는 폭포이며, 이 여심폭포부터 등선대 입구까지 300미터에 이르는 구간은 깔딱 고개라 부를 정도로 매우 가파르다. 흘림골의 명소들은 가을 단풍이 아름다워 많은 사람들이 찾는 곳이다. 설악산 흘림골은 일 5,000명 시간지정제로 운영하므로 방문하려면 국립공원공단 예약 시스템에서 예약을 해야 한다.","[{""fldgubun"": ""3"", ""infoname"": ""입 장 료"", ""infotext"": ""무료"", ""contentid"": ""2383582"", ""serialnum"": ""0"", ""contenttypeid"": ""12""}, {""fldgubun"": ""4"", ""infoname"": ""내국인 예약안내"", ""infotext"": ""사전 예약 필수\t\t"", ""contentid"": ""2383582"", ""serialnum"": ""1"", ""contenttypeid"": ""12""}]",0.00,0
2394618,강원특별자치도 평창군 미탄면 마하길 41-5,,2026-07-30 12:38:44.641711,2016-07-25 18:49:41,,http://tong.visitkorea.or.kr/cms/resource/10/2394610_image2_1.JPG,"<a href=""http://www.raft.co.kr/""target=""_blank"" title=""새창:동강레포츠 홈페이지로 이동"">http://www.raft.co.kr/</a>",,6,128.5410987766,37.2917010437,,,15,동강레포츠,,25384,28,51,760,6,"동강레포츠는 ‘늘 푸른 자연 속에서 신레저문화 창조’라는 이념 아래 창립되었으며, 1994년 동강 최초로 래프팅 코스를 개발하여 당시 영월댐 건설계획으로 수몰 위기에 처했던 동강을 세상에 알림으로써 천혜의 비경 동강을 지켜내는 중추적 역할을 하였다. 래프팅, 카약, 슬로보트, 동굴탐사와 같이 다양한 체험이 가능하며, 패키지 프로그램도 준비되어 있다. 강사진이 각 레포츠 종목별 자격증을 갖추고 있어 안전한 이용이 가능하다.","[{""fldgubun"": ""1"", ""infoname"": ""코스안내"", ""infotext"": ""[동강 래프팅] <br />\n　- 절매코스 : 어름치마을 절매나루 ~ 어름치마을 진탄나루 (5km / 2시간)<br />\n　- 어라연코스 : 어름치마을 진탄나루 ~ 영월 섭세강변 (13km / 3시간)"", ""contentid"": ""2394618"", ""serialnum"": ""0"", ""contenttypeid"": ""28""}, {""fldgubun"": ""3"", ""infoname"": ""체험프로그램"", ""infotext"": ""래프팅 / 카약 / 스카이라인 / 스카이점프 / 백룡동굴 탐사 등"", ""contentid"": ""2394618"", ""serialnum"": ""1"", ""contenttypeid"": ""28""}, {""fldgubun"": ""3"", ""infoname"": ""이용요금"", ""infotext"": ""이용 프로그램별 상이하므로 홈페이지 참조"", ""contentid"": ""2394618"", ""serialnum"": ""2"", ""contenttypeid"": ""28""}, {""fldgubun"": ""4"", ""infoname"": ""주요시설"", ""infotext"": """", ""contentid"": ""2394618"", ""serialnum"": ""3"", ""contenttypeid"": ""28""}]",0.00,0
2396037,강원특별자치도 춘천시 영서로 2663,,2026-07-30 12:38:44.641711,2016-08-01 23:41:41,,https://tong.visitkorea.or.kr/cms/resource/64/4087664_image2_1.jpg,https://www.cuc.or.kr/skywalk.do,033-240-1695,6,127.7236633086,37.8932774475,가능,"매주 화요일※ 눈, 비, 결빙, 강풍주의보 발령 시 휴장 및 개장지연",,소양강스카이워크,[하절기(4월~9월)] 10:00~20:30[동절기(10월~3월)] 10:00~17:30,24239,12,51,110,4,"강 위로 시원하게 뻗은 소양강스카이워크는 전체 길이가 174m로, 바닥이 투명 강화유리로 된 구간만 무려 156m에 이른다. 교량 끝부분에는 원형광장이 조성되어 있고, 원형광장 중앙은 바닥이 투명유리로 되어있다. 광장 양쪽으로는 날개처럼 뻗은 전망대가 있고, 광장 끝 중앙에 서면 쏘가리 상이 바로 내려다보여 포토존으로 인기를 끌고 있다. 정해진 시간에 이 조각상에서 분수가 나온다. 일몰 후에는 오색 조명등이 켜져 또 다른 환상적인 풍경을 감상할 수 있다. 소양강스카이워크 입구에는 아기자기한 포토존과 테라스가 마련되어 있고, 바로 옆에는 춘천 랜드마크라 불리는 소양 2교와 소양강처녀상이 자리하고 있다.","[{""fldgubun"": ""1"", ""infoname"": ""입장료"", ""infotext"": ""2,000(춘천사랑상품권 제공)\n※ 무료 : 춘천시민 / 경로 / 장애인 / 국가유공자 등\n※ 자세한 사항은 홈페이지 참조"", ""contentid"": ""2396037"", ""serialnum"": ""1"", ""contenttypeid"": ""12""}, {""fldgubun"": ""1"", ""infoname"": ""주차요금"", ""infotext"": ""최초 30분 600원 / 초과 시 매 10분마다 300원"", ""contentid"": ""2396037"", ""serialnum"": ""4"", ""contenttypeid"": ""12""}, {""fldgubun"": ""2"", ""infoname"": ""화장실"", ""infotext"": ""있음"", ""contentid"": ""2396037"", ""serialnum"": ""5"", ""contenttypeid"": ""12""}]",0.00,0
4008009,강원특별자치도 춘천시 금강로 68-3 (조양동),,2026-07-30 12:38:44.641711,2026-01-28 20:44:19,,https://tong.visitkorea.or.kr/cms/resource/59/4042259_image2_1.JPG,drglass.cafe24.com,,,127.7287201058,37.8789106500,,,,글라스닥터 안경 위드렌즈 춘천점,,24353,38,51,110,3,글라스닥터는 정확한 시력 검사와 맞춤형 피팅 서비스를 제공하는 안경 전문 체인입니다. 다양한 브랜드의 안경테와 고성능 렌즈를 합리적인 가격에 선보이며 고객의 눈 건강과 스타일을 동시에 책임집니다.,[],0.00,0
137328,강원특별자치도 속초시 동해대로 4164,(조양동),2026-07-30 12:38:44.641711,2003-05-14 09:00:00,,https://tong.visitkorea.or.kr/cms/resource/53/709653_image2_1.jpg,,,6,128.5801716202,38.1911370493,,,,미라지모텔,,24872,32,51,210,7,"멀리서도 눈에 확 띄는 미라지모텔은 직사각형의 건물에 계단 층만 둥근 모양으로 멋지게 지어져 있고 유리가 썬팅되어 있어 밖에서는 안이 비치지 않아 사생활 보호가 가능한 곳이다. 침대 옆으로 벽 전체가 창문으로 되어있어 알람이 따로 필요 없이 햇살에 눈을 뜰 수 있으며, 두꺼운 커튼이 달려있어 늦잠을 잘 경우 커튼을 치면, 전혀 빛이 안 들어 오는 장점이 있다. 창문 앞에는 원목으로 된 고급스러운 티 테이블과 의자가 있어 편안히 쉬거나 창 밖을 보며 여유롭게 차 한잔을 할 수 있다. 깔끔한 화이트 벽지와 나무무늬의 바닥재가 잘 어울려 전체적인 방 분위기가 산뜻한 느낌이다. 텔레비전, 에어컨, 미니 냉장고, 정수기 등이 설치 되어 있어 편리하게 사용할 수 있다.",[],0.00,0
